USA/AZ-QDX-1568/2020	EPI_ISL_603872
USA/AZ-QDX-1729/2020	EPI_ISL_604015
USA/AZ-TG268282/2020	EPI_ISL_426504
USA/AZ-TG271435/2020	EPI_ISL_426534
USA/AZ-TG271575/2020	EPI_ISL_694052
USA/CA-CSMC134/2020	EPI_ISL_475612
USA/CA-CZB-1280/2020	EPI_ISL_454638
USA/CA-CZB043/2020	EPI_ISL_429048
USA/CA-QDX-1043/2020	EPI_ISL_571708
USA/CA-QDX-111/2020	EPI_ISL_468563
USA/CA-QDX-1434/2020	EPI_ISL_572086
USA/CA-QDX-148/2020	EPI_ISL_467814
USA/CA-QDX-1520/2020	EPI_ISL_603773
USA/CA-QDX-1528/2020	EPI_ISL_603781
USA/CA-QDX-1576/2020	EPI_ISL_603890
USA/CA-QDX-1629/2020	EPI_ISL_603908
USA/CA-QDX-1675/2020	EPI_ISL_603924
USA/CA-QDX-1975/2020	EPI_ISL_604217
USA/CA-QDX-2007/2020	EPI_ISL_604304
USA/CA-QDX-2012/2020	EPI_ISL_604306
USA/CA-QDX-2019/2020	EPI_ISL_604308
USA/CA-QDX-2022/2020	EPI_ISL_604310
USA/CA-QDX-2039/2020	EPI_ISL_604319
USA/CA-QDX-2077/2020	EPI_ISL_604395
USA/CA-QDX-2134/2020	EPI_ISL_604423
USA/CA-QDX-2185/2020	EPI_ISL_604446
USA/CA-QDX-2586/2020	EPI_ISL_604881
USA/CA-QDX-2647/2020	EPI_ISL_604909
USA/CA-QDX-2691/2020	EPI_ISL_604998
USA/CA-QDX-449/2020	EPI_ISL_571171
USA/CA-QDX-698/2020	EPI_ISL_571417
USA/CA-QDX-704/2020	EPI_ISL_571421
USA/CA-QDX-705/2020	EPI_ISL_571422
USA/CA-QDX-797/2020	EPI_ISL_571491
USA/DE-DHSS-F917680/2020	EPI_ISL_574586
USA/DE-DHSS-F917718/2020	EPI_ISL_561345
USA/DE-DHSS-F917736/2020	EPI_ISL_561346
USA/DE-DHSS-F917751/2020	EPI_ISL_565832
USA/DE-DHSS-F917887/2020	EPI_ISL_584013
USA/DE-DHSS-F917888/2020	EPI_ISL_576160
