name,state,state_conf
NODE_0000000,NON_GA,"[8.45342729940012e-05, 0.9999154657270058]"
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31,NON_GA,"[0.0, 1.0]"
NODE_0001798,NON_GA,"[3.329113692537042e-16, 0.9999999999999997]"
hCoV-19/Wuhan/WH03/2020|EPI_ISL_406800|2020-01-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ576/2020|EPI_ISL_418514|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/USA/CA-QDX-2654/2020|EPI_ISL_604910|2020-03-16,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH4-205/2020|EPI_ISL_454955|2020-03-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/445/2020|EPI_ISL_1081310|2020-02-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-NJ-095/2020|EPI_ISL_451344|2020-01-31,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/353/2020|EPI_ISL_1081197|2020-02-07,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ185/2020|EPI_ISL_418510|2020-01-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0125-A164/2020|EPI_ISL_493157|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0119/2020|EPI_ISL_416404|2020-02-09,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/WIV04/2019|EPI_ISL_402124|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC0090L/2020|EPI_ISL_421229|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ178/2020|EPI_ISL_418509|2020-01-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Beijing/IME-HZ01/2020|EPI_ISL_450444|2020-01-22,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IVDC-HB-01/2019|EPI_ISL_402119|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0126-C47/2020|EPI_ISL_493177|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-142/2020|EPI_ISL_454918|2020-03-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ60/2020|EPI_ISL_418502|2020-01-22,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/777/2020|EPI_ISL_1081340|2020-02-15,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/733/2020|EPI_ISL_1081331|2020-02-15,NON_GA,"[0.0, 1.0]"
hCoV-19/Hefei/2/2020|EPI_ISL_412026|2020-02-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Shanghai/SH0073/2020|EPI_ISL_416376|2020-02-05,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Sichuan/SC-WCH4-290/2020|EPI_ISL_451392|2020-01-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IME-WH04/2019|EPI_ISL_529216|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IME-WH05/2019|EPI_ISL_529217|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Guangdong/20SF665/2020|EPI_ISL_428469|2020-01-27,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/352/2020|EPI_ISL_1081196|2020-02-07,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/WHU01/2020|EPI_ISL_406716|2020-01-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/470/2020|EPI_ISL_1081311|2020-02-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-167/2020|EPI_ISL_454933|2020-02-11,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH5-239/2020|EPI_ISL_454980|2020-02-09,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/0126-C12/2020|EPI_ISL_493170|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC0048/2020|EPI_ISL_421233|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-160/2020|EPI_ISL_454928|2020-02-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC0091L/2020|EPI_ISL_421227|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/426/2020|EPI_ISL_1081291|2020-02-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ79/2020|EPI_ISL_418504|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-WCH3-259/2020|EPI_ISL_451385|2020-02-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ90/2020|EPI_ISL_418506|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Beijing/DT-BJ01/2020|EPI_ISL_452358|2020-02-11,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZCDC0049L/2020|EPI_ISL_421231|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ91/2020|EPI_ISL_418507|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/110/2020|EPI_ISL_1069208|2020-02-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Zhejiang/WZ-02/2020|EPI_ISL_404228|2020-01-17,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Lu_an/226/2020|EPI_ISL_1069216|2020-02-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IME-WH02/2019|EPI_ISL_529214|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-135/2020|EPI_ISL_454912|2020-02-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ162/2020|EPI_ISL_418508|2020-01-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-122/2020|EPI_ISL_454904|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ638/2020|EPI_ISL_418515|2020-01-25,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH4-214/2020|EPI_ISL_454963|2020-03-20,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ49/2020|EPI_ISL_418442|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/570/2020|EPI_ISL_1081324|2020-02-11,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/678/2020|EPI_ISL_1081326|2020-02-14,NON_GA,"[0.0, 1.0]"
hCoV-19/Sichuan/SC-YB-085/2020|EPI_ISL_451398|2020-01-31,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|2019-12-30,NON_GA,"[0.0, 1.0]"
hCoV-19/Jiangsu/JS03/2020|EPI_ISL_411953|2020-01-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Changzhou/JS27/2020|EPI_ISL_455680|2020-01-26,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/WHU02/2020|EPI_ISL_406717|2020-01-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH5-240/2020|EPI_ISL_454981|2020-02-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH4-206/2020|EPI_ISL_454956|2020-03-27,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ477/2020|EPI_ISL_418511|2020-01-24,NON_GA,"[0.0, 1.0]"
hCoV-19/Jiangsu/IVDC-JS-001/2020|EPI_ISL_408488|2020-01-19,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Jiujiang/JX490/2020|EPI_ISL_455463|2020-02-03,NON_GA,"[0.0, 1.0]"
hCoV-19/Yingtan/JX2480/2020|EPI_ISL_455466|2020-02-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ48/2020|EPI_ISL_418441|2020-01-21,NON_GA,"[0.0, 1.0]"
hCoV-19/Yunnan/0306-466/2020|EPI_ISL_429239|2020-03-06,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-154/2020|EPI_ISL_455373|2020-02-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH3-180/2020|EPI_ISL_455379|2020-03-13,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH5-228/2020|EPI_ISL_455391|2020-02-04,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WHCM-101/2020|EPI_ISL_455399|2020-03-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Hangzhou/HZ62/2020|EPI_ISL_418503|2020-01-22,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IPBCAMS-WH-05/2020|EPI_ISL_403928|2020-01-01,NON_GA,"[0.0, 1.0]"
