,destination region,source region,descendant tips,source node,# descendants,date_midbranch
0,GA,NON_GA,['hCoV-19/USA/GA-QDX-684/2020|EPI_ISL_571429|2020-03-17'],NODE_0004252,1,2020.2021857928498
1,GA,NON_GA,"['hCoV-19/USA/GA_1621/2020|EPI_ISL_424858|2020-03-04', '|GA-EHC-064L']",NODE_0001096,2,2020.1666666671667
2,GA,NON_GA,"['hCoV-19/USA/GA_1299/2020|EPI_ISL_420787|2020-03-03', '|GA-EHC-069Q', 'hCoV-19/USA/GA_2741/2020|EPI_ISL_419556|2020-02-29', 'hCoV-19/USA/GA_2742/2020|EPI_ISL_419557|2020-02-29']",NODE_0000963,4,2020.1202179323739
3,GA,NON_GA,"['|GA-EHC-119P', '|GA-EHC-050X', 'hCoV-19/USA/GA-QDX-1762/2020|EPI_ISL_604026|2020-03-16']",NODE_0003625,3,2020.144202614983
4,GA,NON_GA,['hCoV-19/USA/GA-QDX-1073/2020|EPI_ISL_571823|2020-03-18'],NODE_0000195,1,2020.2021172632906
5,GA,NON_GA,"['hCoV-19/USA/GA-QDX-2235/2020|EPI_ISL_604530|2020-03-15', 'hCoV-19/USA/GA-QDX-2511/2020|EPI_ISL_604780|2020-03-13', '|GA-EHC-031E']",NODE_0000178,3,2020.1927212535531
6,GA,NON_GA,['|GA-EHC-016P'],NODE_0002897,1,2020.1992307415042
7,GA,NON_GA,['|GA-EHC-112H'],NODE_0002930,1,2020.2190331466331
8,GA,NON_GA,['|GA-EHC-083E'],NODE_0002240,1,2020.130447798645
9,GA,NON_GA,['hCoV-19/USA/GA-QDX-2426/2020|EPI_ISL_604698|2020-03-16'],NODE_0004435,1,2020.178690888129
10,GA,NON_GA,['hCoV-19/USA/GA-QDX-2209/2020|EPI_ISL_604528|2020-03-15'],NODE_0003249,1,2020.197702540195
11,GA,NON_GA,"['hCoV-19/USA/GA-QDX-2379/2020|EPI_ISL_604693|2020-03-16', 'hCoV-19/USA/GA-QDX-2421/2020|EPI_ISL_604696|2020-03-16']",NODE_0000107,2,2020.1734972682593
12,GA,NON_GA,['|GA-EHC-121R'],NODE_0002938,1,2020.218667606581
13,GA,NON_GA,['hCoV-19/USA/GA-QDX-575/2020|EPI_ISL_571287|2020-03-17'],NODE_0000191,1,2020.2005969574684
14,GA,NON_GA,"['|GA-EHC-118O', '|GA-EHC-114K', 'hCoV-19/USA/GA-CDC-8816/2020|EPI_ISL_452120|2020-03-21', '|GA-EHC-115L', '|GA-EHC-109E', '|GA-EHC-055C', 'hCoV-19/USA/GA-UW-MAYO62/2020|EPI_ISL_500514|2020-03-18']",NODE_0002257,7,2020.1393079366055
15,GA,NON_GA,"['|GA-EHC-034H', '|GA-EHC-049W']",NODE_0003333,2,2020.1976489623437
16,GA,NON_GA,['hCoV-19/USA/GA-USAFSAM-S102/2020|EPI_ISL_812330|2020-03-22'],NODE_0001717,1,2020.1830601097895
